TEAMS,MP,W,D,L,F,A,GD,P,Group
Italy,2,2,0,0,6,0,6,6,A
Wales,2,1,1,0,3,1,2,4,A
Switzerland,2,0,1,1,1,4,-3,1,A
Turkey,2,0,0,2,0,5,-5,0,A
Belgium,2,2,0,0,5,1,4,6,B
Russia,2,1,0,1,1,3,-2,3,B
Finland,2,1,0,1,1,1,0,3,B
Denmark,2,0,0,2,1,3,-2,0,B
Netherlands,2,2,0,0,5,2,3,6,C
Ukraine,2,1,0,1,4,4,0,3,C
Austria,2,1,0,1,3,3,0,3,C
NorthMacedonia,2,0,0,2,2,5,-3,0,C
CzechRepublic,2,1,1,0,3,1,2,4,D
England,2,1,1,0,1,0,1,4,D
Croatia,2,0,1,1,1,2,-1,1,D
Scotland,2,0,1,1,0,2,-2,1,D
Slovakia,2,1,0,1,2,2,0,3,E
Spain,2,0,2,0,1,1,0,2,E
Sweden,2,1,1,0,1,0,1,4,E
Poland,2,0,1,1,2,3,-1,1,E
Portugal,2,1,0,1,5,4,1,3,F
France,2,1,1,0,2,0,2,4,F
Germany,2,1,0,1,4,3,1,3,F
Hungary,2,0,1,1,1,3,-2,1,F
